excessvolumewczero,excessvolumewchange,pricechangeeffectivewchange,pricechangeeffectivewczero,,,,,,
-0.38,-0.28,-1.04,0.24,,,,,,
-0.37,-0.34,-0.26,0.14,,,,,,
-0.32,-0.34,-0.11,0,,,,,,
-0.26,0,0.09,-0.16,,,,,,
-0.26,-0.22,0.01,-1.18,,,,,,
-0.2,-0.24,350,-1.24,,,,,,
-0.09,0.32,0.02,-1.42,,,,,,
0.56,-0.66,-11.5,0.33,,,,,,
-0.43,0.02,2.9,0.03,,,,,,
0.29,0.76,3.1,0.13,,,,,,
-0.31,0.28,10,-1.19,,,,,,
0.84,0.3,2,0.14,,,,,,
-0.06,0.51,-450,-0.88,,,,,,
-0.01,0.23,0.82,-0.37,,,,,,
-0.14,-0.09,-0.07,-1.11,,,,,,
0.03,-0.19,-0.4,0.71,,,,,,
-0.09,0.37,-4000,2.26,,,,,,
0.07,1.03,-28,-0.16,,,,,,
-0.11,0.5,-700,0.16,,,,,,
-0.19,-0.34,0.93,-0.53,,,,,,
0,-0.54,14.8,0.95,,,,,,
0,-0.24,0.1,-7.4,,,,,,
-0.04,0.15,-3950,3.65,,,,,,
-0.08,0.02,0.28,0,,,,,,
0.06,-0.21,1.29,-0.5,,,,,,
-0.21,-0.34,-3,-1.27,,,,,,
0.03,0.51,-6300,0.48,,,,,,
-0.09,-0.03,1050,1.04,,,,,,
0.02,-0.13,-8.35,1.43,,,,,,
0.22,-0.19,-0.55,0.25,,,,,,
-0.19,-0.22,174.8,-11.75,,,,,,
-0.18,0.24,-0.01,-1.53,,,,,,
-0.12,0,3.25,-0.05,,,,,,
-0.14,0.49,-0.03,-0.17,,,,,,
-0.2,0.73,-0.09,4.1,,,,,,
-0.11,0.12,-68,-3.1,,,,,,
-0.18,-0.17,0.2,0.26,,,,,,
-0.05,-0.6,-0.01,-0.4,,,,,,
-0.15,-0.12,-0.02,-0.7,,,,,,
0.07,-0.09,1.39,0.52,,,,,,
-0.02,-0.54,-0.1,-0.32,,,,,,
-0.19,0.44,-0.5,0.5,,,,,,
-0.17,0.05,4.04,1.85,,,,,,
0.03,0.4,48,-1.64,,,,,,
0.2,0.08,1.55,-0.14,,,,,,
-0.08,-0.35,0,-1.77,,,,,,
-0.31,-0.15,0.08,-4.2,,,,,,
0.05,-0.17,0.11,-1.36,,,,,,
-0.12,-0.31,0.96,-2.15,,,,,,
-0.3,0.09,65,0.5,,,,,,
-0.05,-0.02,-0.63,-0.11,,,,,,
0.05,-0.65,0.34,2.67,,,,,,
-0.1,0.31,0.19,-0.49,,,,,,
-0.07,0.38,0.02,-0.05,,,,,,
-0.42,0.56,0.04,9.9,,,,,,
-0.16,-0.27,0.16,-27,,,,,,
0.11,0.29,-0.71,31,,,,,,
-0.24,-0.03,0.09,-123,,,,,,
0.3,0.44,-125,-33.5,,,,,,
-0.02,0.02,0.42,-9,,,,,,
-0.27,1.15,-11.09,-0.8,,,,,,
-0.24,0.14,0.66,-25,,,,,,
-0.02,0.01,0.32,8,,,,,,
0.13,0.24,-0.58,-120,,,,,,
-0.03,0.97,-0.01,-55,,,,,,
-0.03,0.32,-50,-7.1,,,,,,
-0.08,0.64,-3800,-0.1,,,,,,
0.14,-0.13,8.68,5.5,,,,,,
0.3,0.01,-0.15,42,,,,,,
-0.2,0.5,0.01,88,,,,,,
-0.21,0.18,-0.15,-29.5,,,,,,
-0.15,-0.02,-0.1,-103,,,,,,
0.16,-0.3,0.02,-130,,,,,,
0.09,0.06,3,-3.5,,,,,,
-0.02,0.21,160,18,,,,,,
-0.01,-0.1,0.05,29,,,,,,
0.17,-0.51,0.5,39,,,,,,
0.26,-0.17,-102,-26.5,,,,,,
-0.08,-0.21,0.14,-10,,,,,,
1.5,-0.04,10,320,,,,,,
0.12,0.2,0.75,50,,,,,,
0.36,-0.23,0.68,-10.9,,,,,,
-0.25,0.89,335,5.5,,,,,,
-0.06,0.81,0.59,-229,,,,,,
0.31,-0.43,10.74,-2,,,,,,
0.08,-0.38,-0.04,33,,,,,,
-0.25,0.16,1.21,0.05,,,,,,
0.03,0.21,13.1,-1.65,,,,,,
-0.11,0.82,-400,0.85,,,,,,
-0.05,0.24,-0.25,-1.15,,,,,,
-0.33,0.25,0.34,-0.55,,,,,,
-0.2,0.32,1.1,-0.2,,,,,,
0.16,0.3,0.04,-0.36,,,,,,
-0.25,0.1,0.49,-0.15,,,,,,
-0.53,-0.04,-400,-0.06,,,,,,
0.23,0.28,154,-1.05,,,,,,
0.23,-0.07,200,0.4,,,,,,
-0.32,-0.42,0.2,0.07,,,,,,
-0.56,-0.08,0.15,0.15,,,,,,
0.04,0.55,0.03,0.7,,,,,,
-0.37,0.24,17.2,-0.02,,,,,,
0.42,0.08,0.04,-0.48,,,,,,
-0.19,1.1,0.08,0.04,,,,,,
-0.24,-0.42,-20,-0.4,,,,,,
0.18,0.3,-2,-0.84,,,,,,
-0.03,-0.33,-0.7,-0.34,,,,,,
0.22,-0.34,6,-1.2,,,,,,
-0.14,0.23,-26,0.35,,,,,,
-0.15,-0.04,0.01,-1.04,,,,,,
-0.13,0.13,-0.21,2.1,,,,,,
0.1,0.19,0.41,0,,,,,,
-0.35,0.38,-0.27,1.95,,,,,,
0.57,-0.37,0.13,1450,,,,,,
-0.12,-0.1,-1350,-37,,,,,,
-0.15,0.28,145,-4.45,,,,,,
-0.23,-0.1,0.02,35,,,,,,
0.07,0.07,0.15,4.03,,,,,,
-0.01,-0.02,1.5,0.8,,,,,,
-0.05,0.21,0.37,4.15,,,,,,
0.14,0.31,-4900,-0.5,,,,,,
-0.02,0.4,0,0.2,,,,,,
0.07,0.25,7,0.17,,,,,,
-0.14,-0.19,0.1,0.01,,,,,,
0.38,0.36,890,0.18,,,,,,
0.17,0.74,-1.6,0.2,,,,,,
-0.05,-0.53,0.05,0.07,,,,,,
0.16,0.2,-0.58,0.05,,,,,,
0.1,0.28,-5.2,0.78,,,,,,
-0.22,-0.37,-0.4,20,,,,,,
0.07,0.06,1.94,19,,,,,,
0.14,0.12,0,66,,,,,,
0.12,-0.09,1.42,-130.5,,,,,,
-0.11,0.06,-0.07,19,,,,,,
0.15,-0.08,26,55,,,,,,
-0.03,0.49,-8,-16.1,,,,,,
-0.23,0.02,-50.22,12,,,,,,
-0.15,0.31,4.23,21,,,,,,
-0.12,0.72,150,-6,,,,,,
-0.04,-0.15,0,24,,,,,,
-0.14,0.19,-7.9,52,,,,,,
0.02,0.17,-38,37,,,,,,
-0.16,-0.5,0,-165,,,,,,
-0.07,-0.3,-0.03,2,,,,,,
-0.03,-0.01,-1,140,,,,,,
-0.1,0.36,-0.45,28,,,,,,
0.06,0.05,0.16,34,,,,,,
0.1,-0.46,850,465,,,,,,
-0.17,-0.53,0.21,45,,,,,,
-0.03,0.42,-49,-38,,,,,,
-0.17,-0.31,0.19,-40,,,,,,
-0.16,-0.04,0.16,-27,,,,,,
0.05,0.34,-5000,-200,,,,,,
0.05,-0.07,17,93,,,,,,
0.17,-0.06,-29,19,,,,,,
-0.04,0.26,2.4,60,,,,,,
-0.14,0.58,-0.1,-535,,,,,,
-0.01,-0.11,-0.06,25,,,,,,
-0.19,-0.38,0.47,-2000,,,,,,
-0.05,-0.15,-0.77,-3.9,,,,,,
-0.16,0.05,35,248,,,,,,
-0.1,1.41,-44.25,161,,,,,,
0.04,2.21,-87,780,,,,,,
-0.08,-0.42,0.32,-165,,,,,,
0.11,0.53,0.01,-211,,,,,,
0,0.05,1.03,240,,,,,,
0.02,0.56,55,825,,,,,,
-0.13,0.16,0.1,970,,,,,,
0.03,0.72,-112.9,31,,,,,,
-0.14,-0.49,-1.6,37,,,,,,
0.02,-0.07,0.74,43,,,,,,
-0.07,-0.14,1.31,15,,,,,,
0.11,0.26,0.16,-100,,,,,,
0.26,1.38,0.34,-360,,,,,,
0.01,0.68,-5350,-16,,,,,,
-0.09,-0.03,-50,340,,,,,,
0.08,0.14,-169,10,,,,,,
-0.2,-0.16,-85,320,,,,,,
-0.14,0.22,-0.1,-6.8,,,,,,
0.21,0.89,50,10,,,,,,
-0.01,0.05,245,105,,,,,,
-0.1,-0.02,-360,70,,,,,,
-0.06,0.54,-5.36,25,,,,,,
-0.28,-0.39,0.28,52,,,,,,
0.33,0.16,-1.34,785,,,,,,
0.15,-0.15,2.9,23,,,,,,
0.04,-0.22,7.13,69,,,,,,
-0.06,-0.23,11.98,81.5,,,,,,
-0.22,-0.08,-0.01,76,,,,,,
0.04,-0.43,0.25,168,,,,,,
-0.05,0.02,1.7,5,,,,,,
0.08,0.09,1.96,-133,,,,,,
-0.23,-0.22,0.5,29,,,,,,
-0.16,0.35,0.35,50,,,,,,
0.13,-0.28,-0.41,1600,,,,,,
0.13,-0.17,-10,-214,,,,,,
0.02,-0.14,-0.76,-41,,,,,,
0.25,0.55,0,81,,,,,,
-0.19,1.11,-0.55,95,,,,,,
-0.05,0.03,-4.55,115,,,,,,
0.01,-0.22,1.19,26.6,,,,,,
-0.07,-0.13,1.38,-34,,,,,,
-0.11,0.28,5,-40,,,,,,
0.02,-0.01,750,-50,,,,,,
-0.13,-0.22,3,58,,,,,,
-0.04,0.17,-200,4,,,,,,
-0.09,0.6,-0.5,28,,,,,,
0.37,-0.51,0.04,-44,,,,,,
-0.09,0.06,0.56,-28,,,,,,
0.09,0.58,-2.75,-50,,,,,,
-0.23,-0.05,-0.08,-1600,,,,,,
-0.17,0.29,-175,60,,,,,,
-0.17,0.29,-300,-6,,,,,,
-0.09,0.32,0.44,57,,,,,,
-0.21,-0.13,14.75,200,,,,,,
0.14,-0.17,-0.91,107.5,,,,,,
0.15,-0.32,0.14,-400,,,,,,
0.05,-0.18,0.1,-320,,,,,,
0.04,-0.37,-0.27,-33,,,,,,
-0.2,0.6,2.7,109,,,,,,
-0.05,-0.14,3.5,278,,,,,,
0.18,0.17,0.1,151,,,,,,
0.03,-0.34,0.14,-62,,,,,,
-0.07,-0.02,-2.13,60,,,,,,
