excessvolumewczero,excessvolumewchange,pricechangeeffectivewchange,pricechangeeffectivewczero,,,,,,
-0.19,-0.26,0.77,-8.5,,,,,,
0.1,-0.28,-1.55,0.21,,,,,,
-0.28,-0.09,-2.21,0.01,,,,,,
-0.39,0.37,-410,0,,,,,,
-0.13,0.12,0.3,0,,,,,,
-0.42,-0.52,-0.36,0.22,,,,,,
-0.05,-0.16,-2.35,-0.02,,,,,,
-0.1,-0.12,-3.26,0,,,,,,
0.11,-0.13,-2.3,0.05,,,,,,
-0.3,0.01,2.27,-0.05,,,,,,
-0.31,0.77,74.8,0.02,,,,,,
1.59,0.19,1.21,0.02,,,,,,
-0.09,0.04,-3.4,0,,,,,,
-0.23,-0.2,-1.53,0.01,,,,,,
-0.35,-0.09,1.03,-0.16,,,,,,
0.32,-0.25,0.26,-0.44,,,,,,
2.12,-0.29,-0.06,-0.08,,,,,,
2.62,-0.2,1.17,-4,,,,,,
-0.27,-0.11,-0.8,-0.36,,,,,,
0.46,-0.11,1.59,0.01,,,,,,
-0.25,-0.41,-4.75,-0.03,,,,,,
0.36,-0.01,-2.1,1.85,,,,,,
-0.33,-0.23,0.49,0.01,,,,,,
0.66,-0.12,881.3,0.01,,,,,,
-0.27,-0.12,0.37,0.4,,,,,,
0.57,-0.68,0.39,-0.02,,,,,,
-0.45,-0.15,-4.38,0.07,,,,,,
0.94,-0.48,0.15,-0.07,,,,,,
0.53,-0.12,7.07,-5.6,,,,,,
0.05,0.38,1.23,0.2,,,,,,
0.47,-0.04,0.5,0,,,,,,
-0.18,0.96,4.05,0.03,,,,,,
0.03,-0.02,2.17,-0.12,,,,,,
0.96,-0.06,0.38,0.04,,,,,,
-0.36,-0.03,247,-0.16,,,,,,
-0.28,-0.02,-0.26,-0.75,,,,,,
0.43,0.43,0.7,0.14,,,,,,
1.83,0.4,-121,0.18,,,,,,
-0.08,-0.26,0.2,-8,,,,,,
-0.18,0.02,-1.2,-0.16,,,,,,
1.05,-0.27,-1.32,-0.05,,,,,,
0.4,-0.22,0.01,-0.05,,,,,,
1.03,0.1,1.67,-0.1,,,,,,
0.4,0.27,-4.18,0.44,,,,,,
-0.03,-0.18,-0.81,-0.07,,,,,,
0.02,-0.22,-1.72,34,,,,,,
0.57,0.03,-3.12,5900,,,,,,
-0.21,-0.05,-222,450,,,,,,
0,0.36,1.46,1.95,,,,,,
-0.21,-0.08,-5.95,372,,,,,,
-0.09,-0.17,-36,149,,,,,,
0.26,0.06,-2.71,-31,,,,,,
-0.32,-0.06,-0.65,-1800,,,,,,
0.01,-0.24,-0.47,-7.8,,,,,,
-0.4,0.31,69,1150,,,,,,
-0.08,-0.18,0.92,327,,,,,,
-0.12,0.03,2.3,730,,,,,,
-0.04,0.06,0.42,1.3,,,,,,
0.26,-0.17,0.32,-187,,,,,,
0.49,-0.17,-1.74,2040,,,,,,
-0.27,0.21,-4.82,-118,,,,,,
-0.2,0.06,-5.11,-9.4,,,,,,
-0.24,0.36,4,-620,,,,,,
-0.14,-0.37,-0.89,-330,,,,,,
-0.39,0.05,-2.79,-29,,,,,,
-0.05,0.99,15.47,0.02,,,,,,
0.11,0.09,-2.89,-0.74,,,,,,
0.1,-0.15,88,0.28,,,,,,
-0.15,0.13,3.55,-0.14,,,,,,
-0.01,0.06,-23.55,0.03,,,,,,
-0.17,0.21,-0.35,1.29,,,,,,
0.19,0.13,-5.02,1.53,,,,,,
0.05,0.12,-1.46,0.1,,,,,,
0.11,-0.38,-4.48,0.02,,,,,,
0,0.31,-0.43,-3.54,,,,,,
-0.2,-0.18,-7.21,0.37,,,,,,
-0.32,-0.12,0.66,0.61,,,,,,
-0.09,0.36,1.84,0.27,,,,,,
0.19,-0.22,-2.58,0.07,,,,,,
-0.1,-0.11,-7.66,-0.06,,,,,,
-0.17,-0.09,1.34,0.45,,,,,,
-0.28,0.21,-8.5,-0.42,,,,,,
0.41,-0.03,-33,-0.21,,,,,,
-0.1,-0.01,1.35,-0.23,,,,,,
-0.15,0.25,-39,-1.43,,,,,,
0.15,0.04,-0.6,0.16,,,,,,
-0.14,0.24,-0.45,1.3,,,,,,
-0.28,0.04,-4.79,1.35,,,,,,
0.49,0.08,-0.85,0.13,,,,,,
-0.01,-0.18,0.38,1.03,,,,,,
0.16,-0.15,-3.75,-0.01,,,,,,
-0.07,-0.59,-0.43,-0.1,,,,,,
-0.11,0.01,2.55,0,,,,,,
-0.24,-0.13,1.58,-0.02,,,,,,
-0.25,0,-0.32,0.08,,,,,,
0.01,0.12,-0.95,0.03,,,,,,
0.24,0.2,0.11,-0.09,,,,,,
0.34,-0.09,-97,-0.25,,,,,,
0.75,0.05,-2.5,0.09,,,,,,
-0.43,-0.09,-0.1,0.1,,,,,,
-0.1,-0.13,1.09,0.86,,,,,,
0.18,-0.17,-0.45,-0.08,,,,,,
-0.01,0.29,-5.2,-0.08,,,,,,
-0.13,0.03,-0.75,0.25,,,,,,
-0.04,-0.1,-3.96,0.19,,,,,,
0.18,-0.05,3.15,4.53,,,,,,
0.05,-0.02,-7.07,-0.09,,,,,,
-0.35,-0.4,0.12,0.26,,,,,,
0,0.36,1.54,35,,,,,,
-0.08,-0.09,1.65,-4,,,,,,
-0.32,-0.25,-3.91,25,,,,,,
-0.17,0.23,-1.4,20,,,,,,
0.04,-0.06,0.73,18,,,,,,
-0.19,-0.11,-1.28,-238,,,,,,
-0.37,-0.19,-0.02,1000,,,,,,
-0.11,-0.37,1.8,-81,,,,,,
-0.01,0.06,-1.76,85,,,,,,
-0.21,-0.4,0.06,400,,,,,,
0.64,0.27,-24.12,40,,,,,,
-0.11,-0.34,1.29,150,,,,,,
-0.07,-0.11,-1.88,28,,,,,,
0.3,-0.05,-0.7,12,,,,,,
0.36,-0.28,1.13,-630,,,,,,
0.03,0.16,2.65,50,,,,,,
0.05,0.17,0.82,66,,,,,,
-0.09,0.03,-170,89,,,,,,
-0.05,0.32,26,-32,,,,,,
0.31,-0.29,-2.1,-201,,,,,,
0.19,-0.14,-1.33,12,,,,,,
0.78,0.09,-38,125,,,,,,
-0.18,-0.12,1.55,82,,,,,,
0.04,-0.04,-8.14,-13,,,,,,
0.08,-0.07,0,-370,,,,,,
-0.12,-0.17,0.46,280,,,,,,
-0.17,0.21,0.6,63,,,,,,
0.12,-0.15,5.02,155,,,,,,
-0.27,-0.16,-0.48,123,,,,,,
-0.25,-0.38,-0.39,27,,,,,,
0.47,0.33,4.92,80,,,,,,
0.1,-0.1,-0.75,-15,,,,,,
0.51,-0.46,-3.89,75,,,,,,
0.55,-0.01,-1.2,70,,,,,,
0.19,0.16,-8000,375,,,,,,
0.13,0.19,2.06,17,,,,,,
-0.14,0.01,0.14,235,,,,,,
-0.04,0.3,2.04,121,,,,,,
0.12,-0.34,1.39,80,,,,,,
0.55,-0.3,-3.57,-118,,,,,,
0.18,-0.1,1.36,-165,,,,,,
-0.07,-0.1,0.99,-22,,,,,,
0.08,-0.04,4.95,86,,,,,,
-0.06,0.09,4.23,46,,,,,,
0.19,-0.1,1.49,43,,,,,,
-0.22,0.24,-1.34,7,,,,,,
0.19,0.45,2.11,-27,,,,,,
-0.35,0.11,-58.91,86,,,,,,
-0.1,-0.1,-0.14,118,,,,,,
-0.16,-0.04,-2.46,26,,,,,,
0.22,-0.14,-1.28,69,,,,,,
-0.3,0.09,0.3,125,,,,,,
0.2,-0.15,-2.5,64,,,,,,
0.26,-0.04,2.48,152,,,,,,
-0.08,0.27,-14.13,75,,,,,,
0,-0.08,-2.88,102,,,,,,
0.31,0.11,-4.31,-53,,,,,,
0.04,-0.39,0.6,43,,,,,,
-0.2,-0.1,0.52,9,,,,,,
0.06,-0.35,-1.74,-61,,,,,,
0.2,-0.13,0.33,38,,,,,,
-0.09,-0.09,1.36,12,,,,,,
0.16,0.27,-3.52,22,,,,,,
-0.33,0.05,1.9,62,,,,,,
0.1,0.2,-79.5,-42,,,,,,
0.22,-0.17,2.11,-66,,,,,,
-0.51,-0.16,-2.56,0,,,,,,
0.07,0.08,1.11,560,,,,,,
-0.36,0.16,-0.09,-33,,,,,,
0.19,-0.06,-1.96,-280,,,,,,
0.08,0.11,-0.43,-94,,,,,,
0.17,0.09,0.31,36,,,,,,
0.15,-0.06,-0.74,13,,,,,,
0,-0.54,0.11,18,,,,,,
0.16,-0.61,1.49,-44,,,,,,
0.4,-0.12,-6.11,7,,,,,,
0.14,0.29,-0.06,43,,,,,,
0.01,0.17,-1.43,-310,,,,,,
-0.02,-0.16,205,41,,,,,,
0.09,-0.79,3.4,17,,,,,,
0.01,-0.34,-0.33,-36,,,,,,
0.01,0.1,-0.2,-30,,,,,,
-0.04,0.19,0,88,,,,,,
-0.23,-0.37,0.29,-88,,,,,,
-0.16,-0.29,0.65,-55,,,,,,
0.05,-0.45,-2.3,6000,,,,,,
-0.23,0.66,215,24,,,,,,
-0.12,-0.16,242.5,16,,,,,,
0.02,-0.01,-29,25,,,,,,
-0.03,0.61,-0.18,58,,,,,,
-0.07,-0.02,0.45,120,,,,,,
0.58,-0.19,-1.58,119,,,,,,
-0.1,-0.26,1.4,-58,,,,,,
-0.27,0.08,1.1,68,,,,,,
-0.15,-0.53,0.03,17,,,,,,
0.1,-0.35,26.6,-70,,,,,,
-0.11,-0.26,-0.8,-120,,,,,,
0.22,-0.25,-3.2,-64,,,,,,
0.44,-0.54,4.15,34,,,,,,
-0.08,0.02,-6.7,180,,,,,,
0.19,0.05,1.42,-52,,,,,,
0.18,-0.05,0.35,-35,,,,,,
0.23,0.09,1.94,90,,,,,,
-0.18,-0.13,0.36,125,,,,,,
-0.16,0.15,-20.45,-220,,,,,,
0.23,-0.2,0.03,-121,,,,,,
0.07,0.25,-1.47,84,,,,,,
-0.19,0.26,-0.6,54,,,,,,
-0.01,-0.29,-70,-270,,,,,,
-0.24,-0.01,151.95,27,,,,,,
-0.32,-0.22,0.05,149,,,,,,
0.07,-0.2,-7.55,-54,,,,,,
0.01,0.89,1.82,-159,,,,,,
0.07,-0.24,45,-42,,,,,,
-0.08,0.17,-49.5,-110,,,,,,
-0.24,0.13,-4.29,-95,,,,,,
0.03,-0.17,-1,-26,,,,,,
0.11,-0.27,1.67,-73,,,,,,
0.27,0.04,1.14,-219,,,,,,
0.01,0.49,16.65,10,,,,,,
-0.25,0.72,-1.1,-42,,,,,,
-0.52,-0.33,7.5,6,,,,,,
-0.05,1.08,0.05,-565,,,,,,
0.02,0.12,3.5,11,,,,,,
0.01,-0.34,0.08,-320,,,,,,
-0.02,0.92,-4.9,80,,,,,,
-0.09,-0.24,-2.18,51,,,,,,
0.07,-0.09,-0.89,-380,,,,,,
-0.03,-0.17,2.78,-41,,,,,,
-0.24,-0.05,1.07,18,,,,,,
-0.29,0.06,-0.8,-20500,,,,,,
-0.06,-0.05,0.08,40,,,,,,
-0.14,-0.02,8.7,2500,,,,,,
-0.11,-0.31,-4,-34,,,,,,
-0.3,-0.53,0.02,-160,,,,,,
0.26,-0.18,2.8,-81,,,,,,
0.12,0.08,-2.52,-150,,,,,,
0.55,-0.12,-0.38,1,,,,,,
-0.11,-0.33,-1.3,9,,,,,,
0.2,-0.16,2.33,-1,,,,,,
-0.04,0.05,1.16,43,,,,,,
0.49,-0.19,-3.6,27,,,,,,
0.28,0.92,14,-414,,,,,,
0,0.27,0.12,20,,,,,,
0.22,-0.32,10.5,86,,,,,,
0.27,-0.16,-0.45,-240,,,,,,
0.44,0.09,-0.44,-2,,,,,,
0.55,-0.06,-1.95,-111,,,,,,
0.17,-0.16,2.36,173,,,,,,
-0.17,0.08,0.97,43,,,,,,
-0.33,0.27,-11500,104,,,,,,
-0.36,0.53,-1.11,37,,,,,,
0.01,-0.46,0.01,57,,,,,,
0.95,-0.16,-0.59,-1270,,,,,,
0.02,-0.32,-0.15,39,,,,,,
0.21,-0.02,7,84,,,,,,
-0.17,0.14,46,-118,,,,,,
-0.23,0.26,0.2,52,,,,,,
-0.03,-0.1,1.7,-37,,,,,,
0.44,0.26,38,55,,,,,,
-0.27,-0.08,-8.75,-100,,,,,,
-0.11,0.28,71,-27,,,,,,
-0.18,-0.13,1.1,245,,,,,,
-0.06,-0.07,-0.04,0,,,,,,
0.29,0.03,-15,163,,,,,,
-0.17,0.57,-0.31,150,,,,,,
-0.24,0.05,-0.35,-7000,,,,,,
0.81,-0.09,21,-42,,,,,,
-0.26,0,-0.58,-3000,,,,,,
0.21,0.01,-1.3,29,,,,,,
-0.14,-0.27,0.09,-3,,,,,,
-0.06,0.38,0.09,58,,,,,,
-0.18,-0.26,0.8,-70,,,,,,
-0.03,-0.1,1.39,-500,,,,,,
0.73,0.66,0.71,-55,,,,,,
0,-0.51,0.25,-18,,,,,,
-0.11,0.32,2.54,15,,,,,,
-0.2,0.28,-5.59,85,,,,,,
-0.22,-0.02,-132.5,116,,,,,,
-0.18,-0.17,-0.1,-3000,,,,,,
0.13,-0.11,-4.3,-122,,,,,,
-0.28,-0.17,-0.68,-267,,,,,,
-0.34,0,3.03,-1400,,,,,,
0.06,0.02,0.9,-5250,,,,,,
0.15,0.31,76,7,,,,,,
0.04,-0.21,-0.69,-85,,,,,,
0.21,-0.25,0.05,-295,,,,,,
-0.03,0.11,0.09,20,,,,,,
-0.02,-0.04,1.24,-195,,,,,,
-0.17,-0.02,0.43,-19,,,,,,
-0.16,-0.25,0.05,53,,,,,,
0.25,0.69,0.17,-41,,,,,,
-0.33,-0.12,1.13,31,,,,,,
0.06,-0.29,-3.9,-110,,,,,,
0.07,-0.04,484,230,,,,,,
0.24,-0.12,-24.05,159,,,,,,
0.26,-0.02,-0.6,18,,,,,,
-0.24,-0.32,-4.85,0,,,,,,
-0.24,0.08,1293,89,,,,,,
-0.11,-0.36,-4.16,29,,,,,,
-0.25,-0.17,-0.14,53,,,,,,
-0.26,0.14,-103,16,,,,,,
0.43,-0.17,-150,53,,,,,,
-0.21,0.05,145,-4400,,,,,,
0.25,-0.21,-3.1,-48,,,,,,
0.3,-0.05,0.73,187,,,,,,
-0.01,-0.27,-1.68,11,,,,,,
0.61,-0.06,4,42,,,,,,
-0.37,-0.19,-14,-1900,,,,,,
0.49,0.02,0.74,177,,,,,,
1.44,0.5,-65,44,,,,,,
0.03,-0.03,-0.01,-132,,,,,,
-0.25,0.44,0.73,23,,,,,,
-0.02,-0.05,-40,2,,,,,,
-0.01,-0.07,1.21,-70,,,,,,
-0.12,-0.37,-0.75,6,,,,,,
0.09,-0.15,2.55,22,,,,,,
0.23,0.08,1.09,-276,,,,,,
-0.34,0.32,-15.7,7,,,,,,
-0.18,-0.17,-34,10,,,,,,
-0.04,0.01,-60,1,,,,,,
-0.19,0.29,76.5,1,,,,,,
0.34,-0.24,-0.54,58,,,,,,
-0.05,-0.09,-0.21,-115,,,,,,
-0.01,-0.04,0.15,390,,,,,,
0.35,0.03,74.5,250,,,,,,
0.63,-0.15,-0.01,-11,,,,,,
-0.04,-0.36,0.32,6,,,,,,
0.13,-0.12,3.8,-35,,,,,,
-0.08,-0.17,495.6,124,,,,,,
0.2,0.11,20.5,88,,,,,,
-0.11,0.08,0.44,54,,,,,,
0.19,0.32,-110,50,,,,,,
-0.43,2.02,-0.15,92,,,,,,
0.44,-0.36,0.15,46,,,,,,
-0.07,0.05,-0.18,-5,,,,,,
-0.11,-0.2,-2.77,-2,,,,,,
0.42,0.43,0.13,136,,,,,,
-0.11,-0.99,0,32,,,,,,
0.24,-0.33,-1.2,-37,,,,,,
-0.07,-0.28,-3.4,17000,,,,,,
-0.01,-0.07,0.11,3100,,,,,,
-0.23,0.1,0.51,3700,,,,,,
-0.2,-0.06,-2.03,25,,,,,,
-0.14,-0.06,-175,74,,,,,,
-0.08,-0.25,21.75,39,,,,,,
-0.3,0.19,-3.3,2,,,,,,
-0.07,-0.34,-1.04,-1,,,,,,
0.35,0.14,-1,16,,,,,,
-0.23,0.96,0.67,-1,,,,,,
0.16,-0.1,4.7,50,,,,,,
0.26,-0.45,6.35,84,,,,,,
0,-0.01,-140,-15,,,,,,
-0.08,0.13,-34.5,-65,,,,,,
-0.33,-0.38,-0.92,125,,,,,,
-0.24,0.72,0.7,55,,,,,,
-0.18,0.18,1.75,103,,,,,,
0.55,-0.28,0.69,-71,,,,,,
0.16,-0.06,-94.5,1,,,,,,
0.4,-0.22,-1.2,-630,,,,,,
0.44,-0.12,0.35,-36,,,,,,
-0.1,-0.2,-0.94,-6,,,,,,
0.19,-0.26,1.65,-360,,,,,,
0.67,0.07,2.31,-250,,,,,,
0.12,-0.08,10.52,-14,,,,,,
-0.21,0.01,0.64,11,,,,,,
0.11,-0.16,0.16,165,,,,,,
0.35,-0.32,-0.52,158,,,,,,
-0.16,-0.28,8.65,91,,,,,,
-0.05,-0.1,0.32,158,,,,,,
0.18,-0.04,1.99,-4100,,,,,,
0.2,0.37,1.4,-184,,,,,,
-0.09,-0.2,-3.91,-7,,,,,,
-0.2,0.58,-0.08,83,,,,,,
0.11,-0.13,-31,67,,,,,,
-0.15,0.12,-3.5,86,,,,,,
0.13,-0.13,5.8,15,,,,,,
-0.11,-0.52,-15,30,,,,,,
0.46,0.07,1.11,-60,,,,,,
0.02,-0.27,-0.49,6,,,,,,
-0.19,-0.06,0.61,-40,,,,,,
-0.45,-0.01,-9.44,28,,,,,,
-0.06,-0.06,-31,150,,,,,,
-0.31,-0.2,0.41,8,,,,,,
0.39,-0.19,-58,-181,,,,,,
-0.19,0.21,0.32,73,,,,,,
-0.09,0,2.72,-310,,,,,,
-0.01,0.05,2.09,35,,,,,,
-0.32,0.23,1.9,30,,,,,,
0.15,-0.11,-4.19,59,,,,,,
-0.21,-0.2,450,50,,,,,,
-0.31,0.11,0.95,-12000,,,,,,
0.77,-0.11,0.72,-76,,,,,,
0.09,-0.07,-0.04,12,,,,,,
-0.36,0.27,-4.3,-43,,,,,,
-0.21,-0.33,0.27,65,,,,,,
-0.18,0.05,-135,-21,,,,,,
-0.35,0.05,-1860,170,,,,,,
-0.17,-0.12,-20,12,,,,,,
-0.03,0.23,-1.51,74,,,,,,
0.06,-0.03,-21000,-247,,,,,,
-0.42,-0.04,0.62,40,,,,,,
0.12,0.05,0.95,121,,,,,,
0.01,0.43,0.67,25,,,,,,
0.09,-0.37,-0.12,145,,,,,,
-0.14,0.08,-4.52,8,,,,,,
-0.34,-0.23,-0.12,-7500,,,,,,
1.55,0.19,-3.85,-56,,,,,,
-0.09,-0.11,16.25,-49,,,,,,
-0.03,-0.09,-1.8,-56,,,,,,
0.68,-0.08,-0.01,1,,,,,,
0.27,-0.17,-0.55,-467,,,,,,
0.48,-0.23,6.9,-218,,,,,,
0.08,-0.3,0.62,13,,,,,,
0.51,-0.17,-7,33,,,,,,
0.46,0.2,-10,1140,,,,,,
0.01,0.36,96,9,,,,,,
-0.19,-0.17,-1.68,2100,,,,,,
0.33,0.07,-0.16,-2100,,,,,,
-0.17,-0.24,1.96,-550,,,,,,
-0.32,0.02,3.2,-47,,,,,,
-0.09,-0.39,0.06,27,,,,,,
0.13,-0.8,-0.09,52,,,,,,
-0.08,0.16,-74,210,,,,,,
-0.26,-0.45,0.06,47,,,,,,
-0.04,0.09,-8.33,62,,,,,,
0.02,0.08,-4.15,3,,,,,,
0.22,-0.41,0.85,159,,,,,,
-0.13,0.19,-2.2,165,,,,,,
0.24,0.15,1.92,67,,,,,,
0.51,0.04,-3.59,48,,,,,,
-0.23,0.03,1.75,-19,,,,,,
-0.26,0.31,10,97,,,,,,
0.48,-0.2,0.7,4,,,,,,
0.35,0.41,8.6,-68,,,,,,
0.5,-0.11,224,39,,,,,,
-0.1,0.05,0.62,43,,,,,,
-0.12,0.3,0.46,60,,,,,,
0.57,0.32,-0.53,-39,,,,,,
-0.22,-0.15,0.02,35,,,,,,
0.02,0.08,-0.59,-300,,,,,,
0.9,0.15,-2.44,-71,,,,,,
0.11,-0.3,3.23,190,,,,,,
0.12,0.22,-21,-107,,,,,,
-0.06,-0.33,77.1,-175,,,,,,
-0.02,-0.21,108.4,58,,,,,,
0.13,-0.09,0.55,-161,,,,,,
-0.1,-0.18,-9,-25,,,,,,
-0.08,-0.08,0.75,-12,,,,,,
-0.01,0.16,0.5,28,,,,,,
0.02,0.19,-0.75,126,,,,,,
0.57,-0.14,0.75,-4,,,,,,
-0.13,0.03,0.08,-9,,,,,,
0.39,0.49,150,49,,,,,,
0.19,-0.2,-3.36,-7,,,,,,
-0.07,-0.28,-0.7,45,,,,,,
0.58,-0.13,-3.6,-74,,,,,,
0.07,0.27,-0.05,-106,,,,,,
-0.39,0,0.5,7,,,,,,
-0.12,-0.27,-8.77,90,,,,,,
0.2,-0.34,-0.08,380,,,,,,
-0.21,0.9,-0.4,15,,,,,,
0.05,0.26,-10.9,16,,,,,,
0.56,-0.22,13.7,-106,,,,,,
0.12,-0.1,1.25,22,,,,,,
-0.1,-0.26,22,46,,,,,,
0.15,0.42,52.65,-55,,,,,,
-0.16,0.28,1.5,-1,,,,,,
-0.08,0.24,0.8,-22,,,,,,
-0.14,0.05,1.86,32,,,,,,
0.72,-0.33,-0.01,25,,,,,,
-0.1,-0.09,-0.35,-20,,,,,,
-0.24,1.07,1.34,91,,,,,,
0.35,-0.17,9.2,127,,,,,,
0.29,-0.09,4.78,-17,,,,,,
0.06,-0.05,44,-24,,,,,,
0.14,0.23,-2.05,25,,,,,,
0.06,0.25,0.32,160,,,,,,
0.3,0.18,2.95,20,,,,,,
0.14,-0.25,5,-102,,,,,,
0.02,-0.24,6.15,146,,,,,,
0.08,0.03,0.02,-400,,,,,,
0.12,-0.21,0.6,90,,,,,,
0.01,-0.07,-25.5,-60,,,,,,
0.49,-0.03,3.74,-210,,,,,,
0.11,-0.05,0.68,179,,,,,,
0.08,0.4,-8.71,37,,,,,,
0.07,-0.19,-1.16,-101,,,,,,
-0.34,-0.19,1.55,12,,,,,,
0.12,0.19,0.2,40,,,,,,
-0.02,0.01,1.17,53,,,,,,
-0.07,0.54,-75,-990,,,,,,
-0.18,0.55,31.35,40,,,,,,
-0.43,0.08,-0.52,12,,,,,,
-0.1,0.32,24.8,82,,,,,,
-0.28,-0.16,-3.24,11,,,,,,
0.73,0.23,0.44,-131,,,,,,
0.08,0.59,0.24,52,,,,,,
0.18,-0.36,-4.21,-71.73,,,,,,
0.03,0.13,-0.4,78,,,,,,
0.02,-0.32,-0.22,-39,,,,,,
0.35,-0.04,-0.65,1,,,,,,
-0.25,-0.39,1.12,66,,,,,,
-0.13,0.28,14.4,-90,,,,,,
-0.2,0.03,2.28,11,,,,,,
-0.28,1.18,0.89,3200,,,,,,
0.07,-0.23,-0.18,6,,,,,,
-0.24,-0.09,2.05,34,,,,,,
-0.38,-0.41,0.54,80,,,,,,
0.23,-0.48,-0.08,-13,,,,,,
0.39,-0.2,2.1,34,,,,,,
-0.08,0.04,-22.6,15,,,,,,
-0.02,0,19.8,162,,,,,,
0.34,-0.15,-0.67,-455,,,,,,
0.78,-0.38,0.12,-4,,,,,,
0.07,-0.19,0.01,110,,,,,,
-0.04,0.17,-20,-63,,,,,,
-0.03,-0.01,0.45,-23,,,,,,
-0.02,-0.35,0.65,-56,,,,,,
-0.38,0.12,43,8,,,,,,
-0.35,-0.3,1.45,35,,,,,,
-0.17,-0.25,-18,2700,,,,,,
0.09,-0.21,-25.75,59,,,,,,
-0.14,-0.16,1.97,3,,,,,,
0.49,-0.68,32.3,-105,,,,,,
0.18,0.37,-458,12,,,,,,
-0.05,-0.17,0.7,47,,,,,,
0.09,0.13,300,-87,,,,,,
0.11,-0.27,0.14,240,,,,,,
-0.57,-0.11,-0.61,-1,,,,,,
-0.16,0.07,-0.06,355,,,,,,
0.78,-0.21,-2.15,-124,,,,,,
-0.03,0.36,-62,-187,,,,,,
0.01,-0.33,8.1,-34,,,,,,
-0.03,-0.01,-9.96,-47,,,,,,
0.1,-0.17,0.39,63,,,,,,
0.04,0.02,3.2,-116,,,,,,
0.21,-0.22,3.6,58,,,,,,
0.71,0.91,123.5,117,,,,,,
0.07,-0.24,-1.28,-225,,,,,,
0.1,-0.34,0.3,114,,,,,,
-0.01,0.32,950,105,,,,,,
-0.24,0.13,-0.93,10,,,,,,
0,-0.18,0.62,-93,,,,,,
0.15,0,1.52,-60,,,,,,
-0.14,-0.16,1.42,160,,,,,,
0.23,0.4,-0.41,82,,,,,,
-0.12,-0.04,-0.08,31,,,,,,
-0.14,-0.24,-1.31,1,,,,,,
0.77,-0.12,1.22,-62,,,,,,
-0.06,0.08,-3.11,96,,,,,,
0.07,0.26,52.6,-10,,,,,,
-0.05,0.39,-1.75,77,,,,,,
-0.03,-0.53,-0.35,14,,,,,,
-0.06,-0.1,0.55,-135,,,,,,
0.24,-0.08,-6,-51,,,,,,
0.09,1.97,-2.9,143,,,,,,
-0.03,-0.18,0.17,240,,,,,,
-0.03,0.21,2.13,-55,,,,,,
-0.2,0.24,0.5,15,,,,,,
0.09,0.52,-3.7,-32,,,,,,
0,0.56,-1.05,-15,,,,,,
0.9,0.01,71,2000,,,,,,
-0.22,-0.2,1.17,-2300,,,,,,
-0.08,0,1.17,39,,,,,,
-0.02,0.05,0.42,31,,,,,,
0.18,-0.36,1.29,12,,,,,,
-0.13,-0.33,-13.95,-50,,,,,,
0.04,0.17,-0.16,35,,,,,,
0,-0.29,63.05,40,,,,,,
-0.16,0.14,-0.01,-9,,,,,,
-0.17,-0.16,-0.93,-275,,,,,,
-0.23,-0.43,2.51,4,,,,,,
0.53,-0.1,-4.25,-57,,,,,,
-0.2,0.32,0.52,-15,,,,,,
-0.05,-0.38,0.76,18,,,,,,
0.02,-0.23,-1.04,-58,,,,,,
-0.05,-0.2,2.77,25,,,,,,
0.01,-0.09,0.45,-150,,,,,,
-0.29,-0.05,0.39,-34,,,,,,
-0.01,0.7,3.52,11,,,,,,
0.16,-0.05,7.15,15,,,,,,
-0.08,-0.11,-0.19,-70,,,,,,
-0.24,-0.11,-0.84,99,,,,,,
0.23,0.4,1.75,-166,,,,,,
0.28,-0.11,-1.44,-12,,,,,,
0.17,-0.5,0.41,5,,,,,,
0.12,-0.19,5.8,55,,,,,,
0.06,0.05,-0.9,15,,,,,,
-0.01,0.27,-0.07,6,,,,,,
-0.01,0.09,-95,-58,,,,,,
0.12,-0.52,-1.45,0,,,,,,
0.49,-0.06,-0.95,16,,,,,,
-0.29,-0.11,-0.95,-50,,,,,,
-0.06,0.21,1.15,-9,,,,,,
-0.06,0.21,3.58,-11,,,,,,
-0.04,-0.06,4.39,-18,,,,,,
-0.23,0.24,-0.8,-2,,,,,,
-0.39,-0.08,0.34,3,,,,,,
-0.13,0,10,65,,,,,,
0.28,-0.14,-0.3,-6,,,,,,
0.23,0.5,2.03,-15,,,,,,
0.1,-0.22,100,-72,,,,,,
-0.07,0.69,-7.5,22,,,,,,
1.05,0.02,-2.14,-2,,,,,,
-0.15,0.23,1.53,-118,,,,,,
0.04,-0.09,0.25,-21,,,,,,
-0.16,0.03,-0.2,77,,,,,,
-0.12,0.05,-5.5,20,,,,,,
0.04,-0.45,-3,45,,,,,,
-0.08,-0.35,-0.03,121,,,,,,
0.2,-0.51,-0.12,0,,,,,,
0.19,-0.27,1.4,-87,,,,,,
0.1,0.07,-10.7,-86,,,,,,
-0.01,0.64,-5.73,38,,,,,,
0.35,-0.3,-0.65,89,,,,,,
0.14,-0.18,-8.5,-12,,,,,,
0.01,-0.17,-2.73,52,,,,,,
-0.08,0.16,0.15,170,,,,,,
-0.19,0.89,34.25,30,,,,,,
0.11,-0.21,-0.49,7,,,,,,
-0.23,-0.39,3.32,-40,,,,,,
-0.15,-0.08,-3.97,55,,,,,,
-0.02,0.01,-1.66,68,,,,,,
0.73,-0.03,-0.07,114,,,,,,
0.26,-0.32,1.06,-190,,,,,,
